plant_name,sunlight,watering,difficulty,light_hours,indoor_outdoor,humidity,temperature_min_c,temperature_max_c,description
Croton,high,Weekly,Medium,6,Both,High,10,28,"Croton, or Codiaeum variegatum, is an amazing evergreen shrub with beautiful, large, leathery leaves in a range of colors like yellow, red, pink, and green. Its colors are so vivid and bright that it can be used as a focal point in any garden. Thi..."
Cryptanthus,medium,Weekly,Medium,4,Indoor,Medium,15,28,"Cryptanthus (group) is an amazing plant species that is known for its wide variety of leaf shapes, textures and colors. Each plant forms a perfect rosette that can range from light green, to bright, and even hues of pink. The foliage is always wav..."
Cucumber,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Keep soil consistently moist. Fertilizer: Organic.
Cucumbers,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Cuphea,high,2x/week,Medium,6,Both,High,10,32,"Cuphea Vermillionaire is an amazing plant species for any garden! Its bright red blooms and hardy nature make it a standout choice. Growing in vertical, column-like shapes, Cuphea Vermillionaire has long, opulent leaves that form lush foliage. Add..."
Currant,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: acidic. Watering: Keep soil consistently moist. Fertilizer: Organic.
Cyclamen,medium,Weekly,Medium,4,Indoor,Medium,15,28,"The Cyclamen persicum is an amazing plant species due to its striking beauty. The flowers come in a wide range of colors including pink, purple, white, and more and are accented with beautiful heart-shaped leaves. The plant is also known for its d..."
Cymbalaria,medium,Weekly,Medium,4,Indoor,Medium,15,28,"Cymbalaria aequitriloba, more commonly known as Kenilworth Ivy, is an amazing plant species that features beautiful greens, purples, and whites. Its dainty blossoms and trailing foliage mesmerize, cascading over rocks and down garden walls for a t..."
Daffodil,high,Weekly,Medium,6,Outdoor,Medium,5,35,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Daffodils,high,Weekly,Medium,6,Outdoor,High,5,35,Growth rate: slow. Soil: loamy. Watering: Keep soil consistently moist. Fertilizer: Organic.
Dahlia,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Daisy,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Daisy Fleabane,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: loamy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Dandelion,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Date Palm,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Date Palm (khajoor),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Daylily,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Regular Watering. Fertilizer: Low-nitrogen.
Delta Maidenhair Fern,low,Weekly,Medium,3,Both,Medium,10,32,"The Delta Maidenhair Fern is an amazing species of fern with a unique look. Its fronds create a delicate-looking cloud of bright-green foliage, adding a tropical feel to any environment. Its small, triangular leaves grow in whorls of three on the ..."
Desert Rose,high,Every 2 weeks,Easy,6,Both,High,10,32,"The desert rose is an amazing plant species that adds vibrant, flowering color to any space. This drought-tolerant succulent requires minimal water and a sunny, dry environment, making it ideal for most desert and dry climate gardens. Its showy bl..."
Devils Ivy,high,Weekly,Easy,6,Indoor,High,15,28,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Dianella,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Dianthus,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Dieffenbachia,low,Weekly,Medium,3,Indoor,Medium,15,28,Growth rate: slow. Soil: well-drained. Watering: Water weekly.
Dill,high,2x/week,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Keep soil evenly moist. Fertilizer: Organic.
Dogwood Tree,medium,Weekly,Medium,4,Both,High,10,32,Growth rate: slow. Soil: loamy. Watering: Keep soil consistently moist. Fertilizer: Low-nitrogen.
Dracaena,low,Weekly,Medium,3,Both,High,10,32,"The Dracaena sanderiana, also known as the Lucky Bamboo, is a beautiful and amazing plant. It is durable and incredibly low-maintenance, requiring only occasional watering and infrequent fertilizing. It can survive in a wide range of light conditi..."
Dragon Fruit,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Regular watering. Fertilizer: Balanced.
Dragon Tree Agave,high,Every 2 weeks,Medium,6,Indoor,High,5,35,"(Agave attenuata) Family: Amaryllidaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Scale, Mealy bug."
Dragonfruit Cactus,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Let soil dry between watering.
Dragontree,high,Weekly,Medium,6,Both,Medium,10,32,"The dragontree (Dracaena marginata) is an amazing species of plant that adds a vibrant and striking look to any space. It has long, thin leaves that are deep green with a thin red stripe along the edges. Dragon trees can be surprisingly resilient,..."
Dumb Cane,medium,Weekly,Medium,4,Indoor,High,15,28,"The Dumb Cane (Dieffenbachia seguine) is an amazing and beautiful plant to add to any home or office space. It has large, unique white-yellow and green leaves that stay vibrant throughout the seasons, adding a wonderful splash of colour to any roo..."
Dumcane,medium,2x/week,Medium,4,Indoor,High,12,28,"(Dieffenbachia) Family: Araceae. Origin: Hybrid. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Spider mite, Mealy bug."
Dusty Miller,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Dwarf Bouquet,medium,2x/week,Medium,4,Indoor,High,10,30,"(Dracaena deremensis) Family: Liliaceae. Origin: Africa. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale."
Echeveria,high,Every 2 weeks,Medium,6,Both,Low,10,32,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Echinacea,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Eggplant,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: loamy. Watering: Regular watering. Fertilizer: Organic.
Elderberry,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: moist. Watering: Regular watering. Fertilizer: Organic.
Elderflower,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil."
Elephant Ear,high,2x/week,Medium,6,Indoor,High,15,28,"(Alocasia nebula Imperialis) Family: Araceae. Origin: Cultivar. Climate: Tropical humid. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug."
Elephant Foot,high,Every 2 weeks,Medium,6,Indoor,High,12,32,"(Nolina recurvata) Family: Agavaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Scale, Mealy bug."
Elephant's Ear,medium,Weekly,Medium,4,Both,High,10,32,"The elephant's ear (Alocasia amazonica) is an amazing plant species. Its striking foliage features parabolic shaped leaves with bright green and silver/blue-green veins on the surface. Its white veins make the plant appear more vibrant, especially..."
Emerald Gem,medium,2x/week,Medium,4,Indoor,High,10,28,(Homalomena) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Emerald Prince,medium,2x/week,Medium,4,Indoor,High,18,28,(Philodendron) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Engelmann Spruce,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: well-drained. Watering: Water when soil feels dry. Fertilizer: Balanced.
English Ivy,low,2x/week,Medium,3,Both,High,5,30,"(Hedera helix) Family: Araliaceae. Origin: Cultivar. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug."
Epazote,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: moist. Watering: Regular, well-drained soil. Fertilizer: Organic."
Eucalyptus,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil feels dry. Fertilizer: Low-nitrogen.
Euphorbia,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Fabian Aralia,high,2x/week,Medium,6,Indoor,High,12,30,"(Polyscias scutellaria) Family: Araliaceae. Origin: Asia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Fairy Lantern,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: loamy. Watering: Keep soil slightly moist. Fertilizer: Balanced.
False Aralia,high,2x/week,Medium,6,Indoor,High,12,28,"(Schefflera elegantissima) Family: Araliaceae. Origin: New Calidonia. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Spider mite, Mealy bug, Scale."
Fennel,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Fern (boston Fern),low,Weekly,Easy,3,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist.
Fern (boston),high,Every 2 weeks,Easy,6,Indoor,Low,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water when topsoil is dry. Fertilizer: Organic.
Fern (maidenhair),high,Weekly,Medium,6,Indoor,Medium,15,28,"Growth rate: slow. Soil: moist. Watering: Regular, well-drained soil. Fertilizer: Organic."
Fernleaf Philodendron,low,2x/week,Medium,3,Indoor,High,18,28,(Philodendron pinnatifidum) Family: Araceae. Origin: Venezuela. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Feverfew,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Ficus Benjamina,high,Every 2 weeks,Easy,6,Indoor,Low,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Balanced.
Ficus Microcarpa,medium,Weekly,Easy,4,Both,Medium,10,32,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Ficus Tree,high,Weekly,Medium,6,Indoor,Medium,15,28,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Low-nitrogen.
Fiddle Leaf Fig,medium,Weekly,Medium,4,Indoor,High,15,28,"The Fiddle-leaf Fig is a unique and stunning species of indoor plant. Its broad, glossy leaves have an attractive violin-like shape, and its thick trunk has an interesting look, making it a great choice for any home or office. Not only is it easy ..."
Fidleleaf Fig,high,2x/week,Medium,6,Indoor,High,10,30,"(Ficus lyrata) Family: Moraceae. Origin: Ouest Africa. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Fig,high,Weekly,Medium,6,Both,Medium,10,32,"Fig (Ficus carica 'Brown Turkey') is an amazing plant species with its beautiful sweet flavored fruits. It has magnificent deep green, lobed and shiny leaves on its branches that can grow up to 15 m high. It is an evergreen plant that like full to..."
Fig Tree,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Balanced.
Firecracker Flower,medium,Weekly,Easy,4,Indoor,Medium,15,28,"The Firecracker Flower (Crossandra infundibuliformis) is a tropical flower that will add a burst of color to any garden. Its bright orange and yellow petals are distinctively curled at the edges, making it look like a miniature fireworks display. ..."
Fish Tail Palm,medium,2x/week,Medium,4,Indoor,High,10,25,"(Caryota mitis) Family: Palmae. Origin: India. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug."
Flame Violet,medium,Weekly,Medium,4,Both,High,10,32,"Flame Violet (Episcia cupreata) is a stunning, small-leafed houseplant that offers an amazing array of bright colors. Its foliage can range from pink to yellow, orange and green, and its flowers can be rich red, chocolate, or yellow. This trendy h..."
Flowering Maple,high,2x/week,Medium,6,Both,High,10,32,"The Flowering Maple (Abutilon hybridum) is an amazing plant species for its hardiness, its unique flowers, and its ability to brighten up any landscape. It's a very low maintenance plant that flourishes in full sun and well drained soils. Its flow..."
Foxglove,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Fragrant Dracaena,low,Weekly,Easy,3,Both,High,10,32,"Fragrant Dracaena (Dracaena fragrans) is an evergreen shrub native to Africa. It's amazing because it brings beauty and fragrance to gardens both indoors and outdoors. It's an all-season plant with glossy leaves and pointed edges, ranging from dee..."
Fritillaria,medium,Every 2 weeks,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: well-drained. Watering: Water when soil is dry.
Fuchsia,high,Weekly,Medium,6,Indoor,Medium,15,28,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Galangal,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Galax,medium,2x/week,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: moist. Watering: Keep soil evenly moist.
Gardenia,high,Weekly,Medium,6,Both,Medium,10,32,Growth rate: slow. Soil: acidic. Watering: Water weekly. Fertilizer: Acidic.
Gazania,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Geranium,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Balanced.
Gerbera Daisy,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Giant Candelabra Tree,high,Every 2 weeks,Medium,6,Indoor,High,12,35,(Euphorbia ingens) Family: Euphorbiaceae. Origin: South Africa. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering.
Giant Elephant's Ear,medium,Weekly,Easy,4,Both,High,10,32,"The giant elephant's ear (Alocasia macrorrhizos) is an amazing plant species because of its large and broad leaves. Its leaves can grow to be over 6 feet long and 3 feet wide. It is a tropical plant, preferring humid environments and is great for ..."
Ginkgo,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Globe Thistle,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Golden Barrel,high,Every 2 weeks,Medium,6,Indoor,High,5,40,"(Echinocactus grusonii) Family: Cactaceae. Origin: Central Mexico. Climate: Arid Tropical. Watering: Water only when dry. Must be dry between watering. Watch for: Mealy bug, Scale, Spider mite."
Golden Pothos,low,Weekly,Easy,3,Indoor,High,12,30,"Golden Pothos, also known as Epipremnum aureum, is an amazing, easy-care houseplant that is both aesthetically pleasing and resilient. The attractive variegated leaves of the plant grow rapidly and are easy to care for, making it a popular choice ..."
Golden Trumpet,high,2x/week,Medium,6,Indoor,High,10,30,"(Allamanda nerifolia) Family: Apocynaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Mealy bug, Scale, Spider mite."
Goldenrods,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: loamy. Watering: Keep soil moist. Fertilizer: Organic.
Goldenseal,medium,Weekly,Medium,4,Both,High,10,32,Growth rate: slow. Soil: moist. Watering: Keep soil moist. Fertilizer: Balanced.
Grape Hyacinth,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: loamy. Watering: Keep soil consistently moist. Fertilizer: Organic.
Grape Ivy,low,2x/week,Medium,3,Both,High,10,28,(Cissus rhombifolia) Family: Vitaceae. Origin: Cultivar. Climate: Subtropical. Watering: Keep moist between watering. Can dry between watering.
Grape Vine,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: acidic. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Grass Tree,high,Every 2 weeks,Medium,6,Indoor,High,12,35,(Xanthorrhoea arborea) Family: Liliaceae. Origin: Australia. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering.
Green Bean,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Regular watering. Fertilizer: Balanced.
Green Prayer Plant,low,2x/week,Medium,3,Indoor,High,12,28,(Maranta leuconeura kerchoveana) Family: Marantaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Guar,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry.
Guava,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Gul Mohar (flame Tree),high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: moderate. Soil: sandy. Watering: Regular, moist soil. Fertilizer: Organic."
Gumwood Tree,medium,Every 2 weeks,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: loamy. Watering: Water when soil is dry. Fertilizer: Organic.
Guzmania,medium,Weekly,Medium,4,Indoor,High,10,30,(Guzmania) Family: Bromeliaceae. Origin: Cultivar. Climate: Tropical. Watering: Water when soil is half dry. Change water in the vase regularly..
Hawaiian Elf,high,2x/week,Medium,6,Indoor,High,12,30,"(Schefflera arboricola) Family: Araliaceae. Origin: Taiwan. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Haworthia,low,Every 2 weeks,Medium,3,Indoor,Low,15,28,Growth rate: slow. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Low-nitrogen.
Helenium,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Heliopsis,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: loamy. Watering: Keep soil moist.
Heliotrope,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular Watering. Fertilizer: Organic.
Henbane,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: loamy. Watering: Water when soil feels dry. Fertilizer: Organic.
Heracleum (cow Parsnip),medium,Weekly,Easy,4,Both,High,10,32,Growth rate: fast. Soil: loamy. Watering: Keep soil moist. Fertilizer: Balanced.
Herringbone,medium,2x/week,Medium,4,Indoor,High,12,28,(Maranta leuconeura erythroneura) Family: Marantaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Hibiscus,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Holly,medium,Weekly,Medium,4,Both,Medium,10,32,Growth rate: slow. Soil: acidic. Watering: Water weekly. Fertilizer: Acidic.
Holly Fern,low,2x/week,Medium,3,Both,High,5,30,"(Cyrtomium falcatum) Family: Dryopteridaceae. Origin: Asia. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Scale, Mealy bug."
Hollyhock,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Hops,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Hops Vine,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Low-nitrogen.
Hosta,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Hot Water Plant,medium,Weekly,Medium,4,Indoor,Medium,15,28,"The Hot Water Plant is an awesome choice of species for any avid gardener. It is a perennial plant, with unique and exotic blooms in a variety of shapes and colors, that can be grown indoors or outdoors. These plants are incredibly adaptive, thriv..."
Hoya (wax Plant),high,Every 2 weeks,Medium,6,Indoor,Low,15,28,Growth rate: slow. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Hummingbird Sage,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Hyacinth,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: loamy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Hybrid Tuberous Begonia,low,Weekly,Medium,3,Indoor,Medium,15,28,The hybrid tuberous begonia (Begonia FUNKY PINK) is an amazing species of flower because of its eye-catching bloom that stands out with its bright pink and funky colored petals. It is incredibly easy to take care of and thrives in both warm and co...
Ice Plant,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Impatiens,high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
India Rubber Plant,medium,Weekly,Medium,4,Both,High,10,32,"The India rubber plant (Ficus elastica 'Burgundy') is a beautiful and unique addition to any home or office. This plant features shiny, reddish-maroon, leathery leaves that will light up any room. It is tolerant of low light levels and doesn't req..."
Indian Cress,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Indian Grass,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: loamy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Indian Kale,medium,2x/week,Medium,4,Indoor,High,12,28,"(Xanthosoma lindenii) Family: Araceae. Origin: Colombia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug."
Indian Rubberplant,high,Weekly,Medium,6,Both,Medium,10,32,"The Indian Rubberplant, or Ficus elastica, is an amazing species for houseplant lovers looking for a dramatic statement piece. It has glossy, broad leaves with a deep green hue, and its dramatic size and shape make it an eye-catching addition to a..."
Iris,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Iron Cross Begonia,low,Weekly,Medium,3,Indoor,Medium,15,28,"Iron Cross Begonia (Begonia masoniana) is a unique and beautiful plant with large, showy foliage. Its green leaves are marked with a deep purple, cross-shaped pattern with white veins radiating outward, giving the leaves their signature 'iron cros..."
Ironwood,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: loamy. Watering: Water when soil is dry. Fertilizer: Organic.
Islander (agave),high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: well-drained. Watering: Let soil dry between watering.
Ivy,high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil slightly moist. Fertilizer: Balanced.
Ixia,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Low-nitrogen."
Jacaranda,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Jackfruit,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular watering. Fertilizer: Organic.
Jacob's Coat,high,2x/week,Medium,6,Indoor,High,15,28,"Jacob's Coat (Acalypha wilkesiana) is an amazing foliage plant with colorful leaves that will make a bold statement in your garden. Its leaves emerge in the spring with attractive shades of green and red, and turn pink, purple, yellow, and even si..."
Jade Plant,high,Every 2 weeks,Medium,6,Indoor,Medium,12,35,"The Jade Plant is an amazing species native to South Africa. This small, slow-growing succulent grows sprouts of thick, energy-storing, glossy green leaves that form into a single-stemmed, rounded plant. It's also known as a money tree due to its ..."
Jade Pothos,low,Weekly,Easy,3,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Janet Craig,medium,2x/week,Medium,4,Indoor,High,10,30,"(Dracaena deremensis) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale."
Japanese Anemone,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Japanese Aralia,high,2x/week,Medium,6,Indoor,High,8,28,"(Fatsia japonica) Family: Araliaceae. Origin: Japan. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Japanese Holly Fern,low,2x/week,Medium,3,Both,High,10,32,"The Japanese holly fern (Cyrtomium falcatum) is truly amazing. Featuring intoxicating, glossy green fronds, this captivating species is an ideal addition to any home or garden. It's also incredibly hardy, with a wide range of growing requirements,..."
Japanese Maple,medium,Weekly,Medium,4,Both,High,10,32,Growth rate: slow. Soil: acidic. Watering: Keep soil consistently moist. Fertilizer: Balanced.
Japanese Painted Fern,low,Weekly,Medium,2,Indoor,Medium,15,28,The Japanese Painted Fern is an amazing species of fern that stands out with its yellow fronds that are beautifully accented with green and silver markings. This plant can bring life to any garden with its elegant and delicate look and its ability...
Japanese Tassel Fern,low,2x/week,Medium,3,Indoor,High,-5,28,(Polystichum polyblepharum) Family: Dryopteridaceae. Origin: Japan. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering.
Jasmine,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: loamy. Watering: Water weekly. Fertilizer: Organic.
Jasmine (indoor),high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Low-nitrogen.
Jasmine (outdoor),high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular Watering. Fertilizer: Balanced.
Jatropha,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Jerusalem Artichoke,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: loamy. Watering: Water when soil is dry. Fertilizer: Balanced.
Jewel Plant,medium,2x/week,Medium,4,Indoor,High,15,28,"The Jewel Plant (Bertolonia maculata) is an astounding tropical plant that provides an array of colors and gratification to its beholders! Producing white and purple speckled, bell-shaped flowers in the center, and textured, intricate foliage that..."
Joseph's Coat,high,2x/week,Medium,6,Indoor,High,15,28,"Joseph's coat (Alternanthera ficoidea) is an amazing plant that stands out from other species because of its vibrant, multi-colored foliage. Its leaves display shades of red, yellow, white, and purple, making it a dynamic addition to any landscape..."
